x,variable,value,L1,site,,,
20/05/1986,y,0.237,TM,Reveg,,,
20/05/1986,y,0.286,TM,Sval1,,,
20/05/1986,y,0.263,TM,Sval3,,,
20/05/1986,y,0.137,TM,Sval6,,,
20/05/1986,y,0.176,TM,Sval7,,,
20/05/1986,y,0.147,TM,Sval8,,,
20/05/1986,y,0.139,TM,Sval9,,,
12/06/1986,y,NA,TM,As,,,
12/06/1986,y,NA,TM,Gs1,,,
12/06/1986,y,NA,TM,Gs2,,,
12/06/1986,y,NA,TM,Gs3,,,
12/06/1986,y,NA,TM,Gs4,,,
12/06/1986,y,NA,TM,Reveg,,,
12/06/1986,y,NA,TM,Sval1,,,
12/06/1986,y,NA,TM,Sval3,,,
12/06/1986,y,NA,TM,Sval6,,,
12/06/1986,y,NA,TM,Sval7,,,
12/06/1986,y,NA,TM,Sval8,,,
12/06/1986,y,NA,TM,Sval9,,,
21/06/1986,y,0.434,TM,As,,,
21/06/1986,y,0.382,TM,Gs1,,,
21/06/1986,y,0.363,TM,Gs2,,,
21/06/1986,y,0.392,TM,Gs3,,,
21/06/1986,y,0.364,TM,Gs4,,,
21/06/1986,y,0.343,TM,Reveg,,,
21/06/1986,y,0.392,TM,Sval1,,,
21/06/1986,y,NA,TM,Sval3,,,
21/06/1986,y,0.281,TM,Sval6,,,
21/06/1986,y,0.369,TM,Sval7,,,
21/06/1986,y,0.352,TM,Sval8,,,
28/06/1986,y,0.447,TM,As,,,
28/06/1986,y,NA,TM,Gs1,,,
28/06/1986,y,NA,TM,Gs2,,,
28/06/1986,y,NA,TM,Gs3,,,
28/06/1986,y,NA,TM,Gs4,,,
28/06/1986,y,NA,TM,Reveg,,,
28/06/1986,y,0.227,TM,Sval1,,,
28/06/1986,y,0.293,TM,Sval3,,,
28/06/1986,y,0.234,TM,Sval6,,,
28/06/1986,y,0.327,TM,Sval7,,,
28/06/1986,y,0.321,TM,Sval8,,,
28/06/1986,y,0.313,TM,Sval9,,,
30/06/1986,y,NA,TM,Gs1,,,
30/06/1986,y,NA,TM,Gs2,,,
30/06/1986,y,NA,TM,Gs3,,,
30/06/1986,y,NA,TM,Gs4,,,
30/06/1986,y,NA,TM,Reveg,,,
30/06/1986,y,NA,TM,Sval1,,,
30/06/1986,y,NA,TM,Sval3,,,
30/06/1986,y,NA,TM,Sval6,,,
30/06/1986,y,NA,TM,Sval7,,,
30/06/1986,y,NA,TM,Sval8,,,
30/06/1986,y,NA,TM,Sval9,,,
05/07/1986,y,NA,TM,As,,,
07/07/1986,y,NA,TM,As,,,
07/07/1986,y,NA,TM,Gs1,,,
07/07/1986,y,NA,TM,Gs2,,,
07/07/1986,y,NA,TM,Gs3,,,
07/07/1986,y,NA,TM,Gs4,,,
07/07/1986,y,NA,TM,Reveg,,,
07/07/1986,y,NA,TM,Sval1,,,
07/07/1986,y,NA,TM,Sval3,,,
07/07/1986,y,NA,TM,Sval6,,,
07/07/1986,y,NA,TM,Sval7,,,
07/07/1986,y,NA,TM,Sval8,,,
07/07/1986,y,NA,TM,Sval9,,,
21/07/1986,y,NA,TM,As,,,
30/07/1986,y,0.599,TM,As,,,
30/07/1986,y,NA,TM,Gs1,,,
30/07/1986,y,NA,TM,Gs2,,,
30/07/1986,y,NA,TM,Gs3,,,
30/07/1986,y,NA,TM,Gs4,,,
30/07/1986,y,NA,TM,Reveg,,,
30/07/1986,y,NA,TM,Sval1,,,
30/07/1986,y,NA,TM,Sval3,,,
30/07/1986,y,NA,TM,Sval6,,,
30/07/1986,y,NA,TM,Sval7,,,
30/07/1986,y,NA,TM,Sval8,,,
30/07/1986,y,NA,TM,Sval9,,,
01/08/1986,y,NA,TM,Gs1,,,
01/08/1986,y,NA,TM,Gs2,,,
01/08/1986,y,NA,TM,Gs3,,,
01/08/1986,y,NA,TM,Gs4,,,
01/08/1986,y,NA,TM,Reveg,,,
01/08/1986,y,NA,TM,Sval1,,,
01/08/1986,y,NA,TM,Sval3,,,
01/08/1986,y,NA,TM,Sval6,,,
01/08/1986,y,NA,TM,Sval7,,,
01/08/1986,y,NA,TM,Sval8,,,
01/08/1986,y,NA,TM,Sval9,,,
08/08/1986,y,NA,TM,As,,,
08/08/1986,y,0.506,TM,Gs1,,,
08/08/1986,y,0.481,TM,Gs2,,,
08/08/1986,y,0.522,TM,Gs3,,,
08/08/1986,y,0.486,TM,Gs4,,,
08/08/1986,y,NA,TM,Reveg,,,
08/08/1986,y,0.479,TM,Sval1,,,
08/08/1986,y,NA,TM,Sval3,,,
08/08/1986,y,NA,TM,Sval6,,,
08/08/1986,y,NA,TM,Sval7,,,
08/08/1986,y,0.318,TM,Sval8,,,
08/08/1986,y,NA,TM,Sval9,,,
22/08/1986,y,NA,TM,As,,,
24/08/1986,y,0.577,TM,As,,,
24/08/1986,y,0.272,TM,Gs1,,,
24/08/1986,y,0.233,TM,Gs2,,,
24/08/1986,y,0.328,TM,Gs3,,,
24/08/1986,y,0.256,TM,Gs4,,,
24/08/1986,y,0.432,TM,Reveg,,,
24/08/1986,y,0.481,TM,Sval1,,,
24/08/1986,y,0.454,TM,Sval3,,,
24/08/1986,y,NA,TM,Sval6,,,
24/08/1986,y,NA,TM,Sval7,,,
24/08/1986,y,NA,TM,Sval8,,,
24/08/1986,y,0.435,TM,Sval9,,,
31/08/1986,y,0.578,TM,As,,,
31/08/1986,y,0.493,TM,Gs1,,,
31/08/1986,y,0.465,TM,Gs2,,,
31/08/1986,y,0.511,TM,Gs3,,,
31/08/1986,y,0.475,TM,Gs4,,,
31/08/1986,y,0.452,TM,Reveg,,,
31/08/1986,y,0.495,TM,Sval1,,,
31/08/1986,y,0.476,TM,Sval3,,,
31/08/1986,y,0.444,TM,Sval6,,,
31/08/1986,y,0.486,TM,Sval7,,,
31/08/1986,y,0.495,TM,Sval8,,,
31/08/1986,y,0.465,TM,Sval9,,,
02/09/1986,y,0.474,TM,Gs1,,,
02/09/1986,y,0.441,TM,Gs2,,,
02/09/1986,y,0.494,TM,Gs3,,,
02/09/1986,y,0.453,TM,Gs4,,,
02/09/1986,y,NA,TM,Reveg,,,
02/09/1986,y,NA,TM,Sval1,,,
02/09/1986,y,NA,TM,Sval9,,,
07/09/1986,y,NA,TM,As,,,
09/09/1986,y,NA,TM,As,,,
09/09/1986,y,NA,TM,Gs1,,,
09/09/1986,y,NA,TM,Gs2,,,
09/09/1986,y,NA,TM,Gs3,,,
